State,geo_value,Closed bars,Reopened bars,Closed bars x2,Reopened bars x2,Closed bars x3,Reopened bars x3
Alabama,AL,3/19/2020,5/11/2020,0,0,0,0
Arizona,AZ,3/21/2020,5/16/2020,6/29/2020,3/25/2021,0,0
Arkansas,AR,3/20/2020,5/19/2020,0,0,0,0
California,CA,3/16/2020,6/15/2021,0,0,0,0
Colorado,CO,3/17/2020,6/18/2020,6/30/2020,4/26/2021,0,0
Connecticut,CT,3/16/2020,5/19/2021,0,0,0,0
Delaware,DE,3/16/2020,6/15/2020,0,9/4/2020,0,0
Florida,FL,3/17/2020,6/5/2020,6/26/2020,9/14/2020,0,0
Georgia,GA,3/24/2020,6/1/2020,0,0,0,0
Idaho,ID,3/25/2020,5/30/2020,0,0,0,0
Iowa,IA,3/17/2020,5/28/2020,0,10/5/2020,0,0
Illinois,IL,3/16/2020,6/26/2020,11/20/2020,2/4/2021,0,0
Indiana,IN,3/16/2020,6/12/2020,0,0,0,0
Kansas,KS,3/30/2020,6/8/2020,0,0,0,0
Kentucky,KY,3/16/2020,6/29/2020,7/28/2020,8/11/2020,11/20/2020,12/13/2020
Louisiana,LA,3/17/2020,6/5/2020,7/13/2020,3/3/2021,0,0
Massachusetts,MA,3/17/2020,5/29/2021,0,0,0,0
Maryland,MD,3/16/2020,6/12/2020,0,0,0,0
Maine,ME,3/18/2020,3/26/2021,0,0,0,0
Michigan,MI,3/16/2020,6/8/2020,7/31/2020,10/9/2020,11/18/2020,2/2/2021
Minnesota,MN,3/17/2020,6/10/2020,11/21/2020,1/11/2021,0,0
Missouri,MO,3/23/2020,5/4/2020,0,0,0,0
Mississippi,MS,4/3/2020,6/1/2020,0,0,0,0
Montana,MT,3/20/2020,5/4/2020,0,0,0,0
North Carolina,NC,3/17/2020,3/26/2021,0,0,0,0
North Dakota,ND,3/20/2020,5/1/2020,0,0,0,0
Nebraska,NE,4/3/2020,6/22/2020,0,0,0,0
New Hampshire,NH,3/16/2020,6/15/2020,0,0,0,0
New Jersey,NJ,3/16/2020,6/15/2020,0,0,0,0
New Mexico,NM,3/19/2020,6/2/2021,0,0,0,0
Nevada,NV,3/21/2020,5/29/2020,0,9/21/2020,0,0
New York,NY,3/16/2020,5/3/2021,0,0,0,0
Ohio,OH,3/15/2020,5/15/2020,0,0,0,0
Oklahoma,OK,4/1/2020,5/15/2020,0,0,0,0
Oregon,OR,3/17/2020,6/19/2020,11/18/2020,5/7/2021,0,0
Pennsylvania,PA,3/18/2020,6/5/2020,7/16/2020,4/4/2021,0,0
Rhode Island,RI,3/17/2020,6/1/2020,11/30/2020,2/12/2021,0,0
South Carolina,SC,3/18/2020,5/4/2020,0,0,0,0
South Dakota,SD,0,0,0,0,0,0
Tennessee,TN,3/23/2020,5/22/2020,0,0,0,0
Texas,TX,3/21/2020,5/29/2020,6/26/2020,10/14/2020,0,0
Utah,UT,3/19/2020,5/1/2020,0,0,0,0
Virginia,VA,3/25/2020,5/29/2020,0,0,0,0
Vermont,VT,3/17/2020,5/22/2020,11/15/2020,3/24/2021,0,0
Washington,WA,3/17/2020,7/3/2020,11/18/2020,3/11/2021,0,0
Wisconsin,WI,3/17/2020,5/13/2020,0,0,0,0
West Virginia,WV,3/18/2020,5/26/2020,0,8/31/2020,0,0
Wyoming,WY,3/19/2020,5/15/2020,0,0,0,0
